number,f_0.5_score,datetime_start,datetime_complete,duration,C,l1_ratio,state
0,0.8864981499631512,2024-01-19 09:41:50.834096,2024-01-19 09:41:53.348797,0 days 00:00:02.514701,692.8712609144018,0.35644794871762087,COMPLETE
1,0.8864871025339057,2024-01-19 09:41:53.349158,2024-01-19 09:41:55.961558,0 days 00:00:02.612400,638.1039646175107,0.36867089619677784,COMPLETE
