number,f_0.5_score,datetime_start,datetime_complete,duration,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_bin,max_depth,min_child_weight,n_estimators,subsample,state
0,-0.3368158299307358,2025-11-16 23:58:32.295626,2025-11-16 23:58:34.377364,0 days 00:00:02.081738,0.41358296469135636,0.027105282467710014,5.144874373598246e-06,0.00013051150689709102,469,3,0.0007822810195618327,50,0.9924254731604196,COMPLETE
1,-0.34124703866122286,2025-11-16 23:58:34.377801,2025-11-16 23:58:35.795041,0 days 00:00:01.417240,0.5021167835642584,3.7495329604132177,0.0007159235122304433,0.00019611713765706453,503,5,0.015048904660298143,28,0.925642909331425,COMPLETE
